group_id,title,url,visibility,members_k,members,desc,post,city,state_code,state_name,latitude,longitude
"1009282159774681",Bazar Weymouth$ Abington$ Rockland$ Hanson,https://www.facebook.com/groups/1009282159774681/,Private,6.5K,6500.0,"Se voce é morador da região participe com a gente.",10+ posts a day,Abington,MA,Massachusetts,42.116715,-70.954293
"1586184494969113",Life Around South Shore Mass,https://www.facebook.com/groups/1586184494969113/,Private,2.7K,2700.0,"A Group page to address all problems. complaints or opinions on subjects in or around the south shore! You may also advertise your south shore business. You may advertise 2 times per week only. No sales but you may post notifications of a upcoming yard sale.",2 posts a day,Abington,MA,Massachusetts,42.116715,-70.954293
"weymouthma",Weymouth MA Business,https://www.facebook.com/groups/weymouthma/,Private,2K,2000.0,"Welcome to the Weymouth MA Business! This is a dedicated space for local businesses and customers in and around Weymouth to connect. Here. we encourage sharing business-related content - from marketing and advertising your ventures. to exploring local business offerings. Let's support and grow together! 📈💰🤝",2 recent anonymous posts,Abington,MA,Massachusetts,42.116715,-70.954293
"402313613659865",BLACKBEARD INC. ESTATE SALES & AUCTIONS,https://www.facebook.com/groups/402313613659865/,Private,1.5K,1500.0,"Blackbeard Online Auctions 💥 Your live auction destination!! Where you run the show!! Become your own auctioneer right from your home or business!! Anyone can sell. Just follow these steps and you can be on your way to making your fortune today!!! Choose a date. pick a time. pay a small convenience fee for your time slot and Go Live. Afternoon spots are available upon request for a discounted rate. Weekday and weeknight auctions fees are as follows. 5-7pm cst $15....7-9pm cst $15...9-?pm cst $30. Sellers will invoice buyers after the conclusion of the auction with their invoices that need to be paid within 48 to 72 hrs of receiving the message. The schedule with upcoming auction dates will always be posted under announcements on site. If you are camera shy we also offer a single item timed reply auction that is free!! Simply post good photos. add a description. include ending date with time zone and shipping cost. You may also say actual shipping and ask the buyer for their zip and calculate exact shipping to their door. It is suggested that all buyers pay friends and family when using PayPal. Any issues receiving payment or an item you purchased please reach out to an admin that can help with your situation. We keep a close eye on the site and run a tight ship. Professional behavior is always expected from every member. All we ask is that you keep all items pre 1999 vintage. collectible or antique. If you have any questions or if you are looking for tips on running your first auction there are plenty of experienced members or admins that will help you get started. In the end we are a team and even closer community so watch for our participation giveaways and welcome to Blackbeard Online Auctions!",NA,Abington,MA,Massachusetts,42.116715,-70.954293
"ActonFriendsMassachusetts",Acton Friends (Massachusetts),https://www.facebook.com/groups/ActonFriendsMassachusetts/,Private,3.8K,3800.0,"This group is for Acton. Massachusetts friends & neighbors to ask for recommendations & share community information. Small business owners are welcome to post a ONE-time introduction to your business or service. including a link to your website or FB page. Local organizations (scouts. PTO. etc) can post once per month with upcoming events.",1 recent anonymous post,Acton,MA,Massachusetts,42.475076,-71.448255
"actonmaforum",Acton$ MA (Community Forum),https://www.facebook.com/groups/actonmaforum/,Private,3.4K,3400.0,"For Acton. MA topics only. For People who live in Acton. MA. On May 8th. On behalf of the Town Manager and the Emergency Management Director. the town of Acton hosted a workshop “the Community Resilience Building (CRB) Workshop”. All participants divided into group settings to discuss the top priority issues of our town. One of the top 4 listed was communication. Most people feel the needs of some kind of communication channels for townspeople. I was one of the participants. I would like to start it from here. Again this group is designed for information sharing all things Acton related. not for reporting emergency cases. It is intended for quick information sharing. e.g. town meetings. neighborhood helpers needed. events. volunteers recruiting. neighborhood alerts (besides policy/emergency report). road conditions. etc. Any advertisement for out of town business will be removed immediately. All ads are not repeatable. Politics? It is hard to completely avoid. For instance. we may discuss town meetings. how article was proposed. That is when things get muddy. Only thing I hope us as well balanced Actonians. is to respect each other. conduct productive conversations. For any specific topics. subjects. especially for a project/proposal with long term goals. people may form a separate forums to discuss. I will update the resource references below periodically as needed. Again please be respectful and considerate to others when we write on the public forum. * This forum should NOT be used for any individual campaigning. Thank you for your cooperation. I also recommend each neighborhood community form your own neighborhood FB page for block parties. playdates. babysitter arrangement. etc. Welcome! Some topics may be discussed in different groups: * Acton Parents (Acton. Massachusetts): -https://www.facebook.com/groups/actonparents/ * Acton Boxborough School Community: https://www.facebook.com/groups/1348659435223629/ * Acton. MA Yard Sale https://www.facebook.com/groups/actonma/",6 posts a day,Acton,MA,Massachusetts,42.475076,-71.448255
"actonparents",Acton Parents (Acton$ Massachusetts),https://www.facebook.com/groups/actonparents/,Private,6.5K,6500.0,"A local discussion group for any topics related to parenting in the Acton area. Need ideas for birthday party locations? Reviews of favorite preschools? Places to go on a rainy day? Tips on getting kids to eat veggies? Ask away.",10 posts a day,Acton,MA,Massachusetts,42.475076,-71.448255
"1557110377737850",Buy Nothing Acton/Littleton/ Boxborough (Northeast)$ MA,https://www.facebook.com/groups/1557110377737850/,Private,4.8K,4800.0,"To join us. click “Join Group” and answer the three membership questions. Contact local volunteer admin Emily Kenzik with any questions about membership in this Buy Nothing community group. Buy Nothing. Give Freely. Share creatively. Follow us at https://www.facebook.com/BuyNothingProject/ We offer members a way to give and receive. share. lend. and express gratitude through a worldwide network of micro-local gift economies in which the true wealth is the web of connections formed between people who are real-life neighbors. Post anything you'd like to give away. lend. or share in this Buy Nothing community group. Ask for anything you'd like to receive for free or borrow. Keep it legal. Keep it civil. Buy Nothing Acton/Littleton/Boxborough (NE). MA is for neighbors in the towns of Acton and Littleton. MA. and the area of Boxborough that is to the northeast of Liberty Square Rd. If you live here. we’d love to have you join us! You can join one group only. the group where you live. so you can literally 'give where you live.' This is what builds community. In this group there is no buying or selling. no trades or bartering. no soliciting for cash. We're an adult-only. hyper-local gift economy. We are not a charity or community bulletin board. Please check for a message from an admin via Facebook messenger to clarify and confirm that you meet our membership criteria and to welcome you to the group. By joining this group. you agree to abide by our Mission and Rules. https://buynothingproject.org/the-fine-print-2/ Looking for an official group near you? Visit our Find A Group page for a list of all our hyper-local gift economies: http://buynothingproject.org/find-a-group/ Want to join the Buy Nothing Project network? Visit our Start A Group page to learn about how we set groups up: http://buynothingproject.org/start-a-group/ Learn more about the Buy Nothing Project at http://buynothingproject.org/ Have a concern about this group? Are you having trouble finding or being added to your local Buy Nothing group? We want to hear from you! Contact us here: https://tinyurl.com/member-relations This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License. https://creativecommons.org/licenses/by-nc/4.0/ Non-derivative (standard BNProject rule set. no rules have been changed)",10+ posts a day,Acton,MA,Massachusetts,42.475076,-71.448255
"1630471213908387",Acton$ MA moms,https://www.facebook.com/groups/1630471213908387/,Private,1.7K,1700.0,"Just a friendly resource for all things Acton. MA! Ask questions about town happenings and get answers. Share and exchange ideas. Get recommendations for anything from babysitters to exterminators. If you have a 'hard to find' item to sell that you think Acton families would be interested in post it here. It is a fun helpful page! Just remember to keep things classy and tasteful. This is a local information group for moms who live in Acton MA. Unfortunately to protect members from spam we are only able to approve members whose facebook pages clearly indicate that they live in Acton (or one of the adjacent towns). Honest Opinions are encouraged! Enjoy!",NA,Acton,MA,Massachusetts,42.475076,-71.448255
"478829545601910",Bazar Acton Massachussets,https://www.facebook.com/groups/478829545601910/,Private,2.2K,2200.0,"Venda.Troca e Ajuda comunitária.amizades.café e afins.",NA,Acton,MA,Massachusetts,42.475076,-71.448255
